    y1 y2     y3    y4    y5  y6
146 31  6  657.0 104.0 110.0 358
147 32  2  465.0  86.5  63.7 412
148 32  5  485.0  83.5  73.0 382
149 37  2  168.0  82.5  23.3 261
150 38  6  286.0 109.5  31.9 260
151 39  1  388.0  91.0  41.6 204
152 39  9  148.0 105.2  18.8 221
153 34  6   73.0 105.5  17.0 285
154 35  4   36.0  92.8  22.0 308
155 58  8   19.0 100.5  10.9 196
156 58  2   34.0  98.5  19.9 299
157 38  1  113.0  97.0  18.8 216
158 30  8   57.0 105.0  12.9 155
159 42  8   78.0 118.0  15.5 212
160 43 11   73.0 104.0  20.6 201
161 29  3   69.0 111.0  16.0 175
162 30 10  177.0 103.5  19.8 241
163 35  6   48.0  98.0  16.4 233
164 35  7   34.0  96.5  10.4 122
165 35  9   42.0 100.1  17.1 184
166 44  9  109.0  81.0  25.3 227
167 35  9  925.0  81.0  62.9 279
168 35  4 1288.0  82.0  51.6 368
169 36  9  325.0  76.3  33.9 413
170 53  6   59.0  93.0  22.2 240
171 54  4   69.0  92.6  20.9 243
172 30  4  363.0  91.3  36.0 325
173 35 11   37.0  84.0  12.8 156
174 53  6  101.0  77.5  11.7 280
175 41  3   99.0  93.2  18.6 156
176 40  9  125.0  90.5  19.4 438
177 42  8   52.0  93.3  11.2 272
178 59  6  560.0 106.0  21.0 345
179 31  8   85.0  94.0  20.1 198
180 32  6   72.0  88.0   8.3 166
181 52  6  197.0  91.5  25.2 236
182 52  3  242.0  85.5  16.6 168
183 53  8  245.0  89.5  22.7 269
184 39 10  154.0 103.5  21.3 296
185 39  6  228.0 104.0  10.2 236
186 43  8   80.0  90.5  12.1 269
187 44  6   28.0 104.0  22.0 142
188 45  6   35.0  86.3  14.4 184
189 33  5   57.0  88.0   8.9 190
190 26 11  326.0  98.0  27.1 358
191 26  6  700.0  90.0  49.1 343
192 61  9  100.0 101.0  11.8 301
193 61  2   80.0  97.5  15.1 262
194 48  6  115.0  79.0  14.2 258
